loinc_num,long_common_name,classtype,found_in_lab,found_in_obs_clin,found_in_obs_gen
18363-2,Carnitine free (C0) [Units/ma,1,1,,
18364-0,Chondroitin sulfate [Mass/vol,1,1,,
18365-7,Cortisol Free [Mass/volume] i,1,1,,
1836-6,Alpha-2-Retinol binding prote,1,1,,
18366-5,Cytochrome C oxidase [Enzymat,1,1,,
18367-3,Iodine Free [Mass/volume] in,1,1,,
18368-1,Magnesium [Moles/time] in 2 h,1,1,,
18369-9,Magnesium [Moles/time] in 4 h,1,1,,
18370-7,Nitrite [Mass/volume] in Bloo,1,1,,
18371-5,Methyl parathion [Mass/volume,1,1,,
18372-3,Potassium [Moles/time] in 6 h,1,1,,
18373-1,Protein [Mass/time] in 6 hour,1,1,,
1837-4,Alpha-N-acetylglucosaminidase,1,1,,
18374-9,Riboflavin [Mass/volume] in 2,1,1,,
18375-6,Deprecated Serotonin [Mass/vo,1,1,,
18376-4,Sodium [Moles/time] in 6 hour,1,1,,
18377-2,Sodium [Moles/time] in 12 hou,1,1,,
18378-0,Transcortin [Mass/volume] in,1,1,,
18379-8,Urate [Mass/time] in 6 hour U,1,1,,
18380-6,Uroporphyrinogen decarboxylas,1,1,,
18381-4,Uroporphyrinogen decarboxylas,1,1,,
1838-2,Alpha-N-acetylglucosaminidase,1,1,,
18382-2,Dry weight [Mass/time] of 24,1,1,,
18383-0,Alfentanil [Presence] in Urin,1,1,,
18384-8,Butabarbital [Mass/volume] in,1,1,,
18385-5,Butalbital [Presence] in Urin,1,1,,
18386-3,Chlorothiazide [Presence] in,1,1,,
18387-1,Diamorphine [Mass/volume] in,1,1,,
18388-9,diazePAM [Presence] in Urine,1,1,,
18389-7,Methaqualone [Presence] in Ur,1,1,,
1839-0,Ammonia [Moles/volume] in Blo,1,1,,
18390-5,Opiates [Presence] in Urine b,1,1,,
18391-3,Paraldehyde [Mass/volume] in,1,1,,
18392-1,Phencyclidine [Presence] in U,1,1,,
18393-9,quiNIDine+Quinine [Presence],1,1,,
18394-7,HLA-A24(9) [Presence],1,1,,
18395-4,Aspergillus niger Ab [Presenc,1,1,,
18396-2,HIV 1 p24 Ag [Presence] in Se,1,1,,
18397-0,Polio virus 1 Ab [Titer] in C,1,1,,
18398-8,Polio virus 2 Ab [Titer] in C,1,1,,
18399-6,Polio virus 3 Ab [Titer] in C,1,1,,
18400-2,Spermatozoa IgA Ab [Units/vol,1,1,,
18401-0,Spermatozoa IgG Ab [Units/vol,1,1,,
18402-8,Spermatozoa IgA Ab [Units/vol,1,1,,
18403-6,Spermatozoa IgG Ab [Units/vol,1,1,,
18404-4,Spermatozoa IgM Ab [Units/vol,1,1,,
18405-1,Arsenate [Mass/volume] in Uri,1,1,,
18406-9,Arsenic trioxide [Mass/volume,1,1,,
18407-7,Leukocytes in 12 hour Urine s,1,1,,
1840-8,Ammonia [Moles/volume] in Cer,1,1,,
18408-5,CD3+HLA-DR+ cells/100 cells i,1,1,,
18409-3,Curvularia lunata IgG Ab [Uni,1,1,,
18410-1,Epicoccum purpurascens IgG Ab,1,1,,
18411-9,Rhizopus nigricans IgG Ab [Un,1,1,,
18412-7,Stemphylium botryosum IgG Ab,1,1,,
18413-5,HLA-DR16 [Presence],1,1,,
18414-3,Psilocin [Presence] in Urine,1,1,,
18415-0,Psilocin [Mass/volume] in Uri,1,1,,
1841-6,Ammonia [Moles/volume] in Ser,1,1,,
18416-8,Aspergillus nidulans IgG Ab [,1,1,,
18417-6,Black Bean IgG Ab [Units/volu,1,1,,
18418-4,Casein IgA Ab [Units/volume],1,1,,
18419-2,Cephalosporine mold IgG Ab [U,1,1,,
184-2,Ciprofloxacin [Susceptibility,1,1,,
18420-0,Chaetomium globosum IgG Ab [U,1,1,,
18421-8,Fusarium oxysporum IgG Ab [Un,1,1,,
18422-6,Microcytes [Presence] in Urin,1,1,,
18423-4,Phthalic anhydride IgG Ab [Un,1,1,,
1842-4,Ammonia [Moles/volume] in Uri,1,1,,
18424-2,Phthalic anhydride IgM Ab [Un,1,1,,
18425-9,Zucchini IgG Ab [Units/volume,1,1,,
18426-7,Aspergillus sp Ab [Presence],1,1,,
18427-5,Epstein Barr virus early Ab [,1,1,,
18428-3,Epstein Barr virus nuclear Ig,1,1,,
18429-1,Rickettsia rickettsii IgG Ab,1,1,,
18430-9,Rickettsia rickettsii IgM Ab,1,1,,
18431-7,Amphetamines [Presence] in St,1,1,,
1843-2,Ammonia nitrogen [Mass/time],1,1,,
18432-5,Tetrahydrocannabinol [Presenc,1,1,,
18433-3,"Deprecated 1,3-Dichlorobenzen",1,1,,
18434-1,"1,2-Dichlorobenzene [Mass/vol",1,1,,
18435-8,SUFentanil [Presence] in Urin,1,1,,
18436-6,Acetylcarnitine (C2) [Mass/vo,1,1,,
18437-4,Acrylylcarnitine (C3:1) [Mass,1,1,,
18438-2,Propionylcarnitine (C3) [Mass,1,1,,
18439-0,Butyrylcarnitine (C4) [Mass/v,1,1,,
1844-0,Ammonium ion [Moles/volume] i,1,1,,
18440-8,Crotonylcarnitine (C4:1) [Mas,1,1,,
18441-6,Isovalerylcarnitine (C5) [Mas,1,1,,
18442-4,3-Hydroxybutyrylcarnitine (C4,1,1,,
18443-2,Hexanoylcarnitine (C6) [Mass/,1,1,,
18444-0,3-Hydroxyisovalerylcarnitine,1,1,,
18445-7,Benzoylcarnitine (BzCn) [Mass,1,1,,
18446-5,Methylmalonylcarnitine (C4-DC,1,1,,
18447-3,Octenoylcarnitine (C8:1) [Mas,1,1,,
18448-1,Octanoylcarnitine (C8) [Mass/,1,1,,
18449-9,Glutarylcarnitine (C5-DC) [Ma,1,1,,
18450-7,Adipoylcarnitine (C6-DC) [Mas,1,1,,
18451-5,cis-4-Decenoylcarnitine (Cis,1,1,,
18452-3,Decanoylcarnitine (C10) [Mass,1,1,,
18453-1,Suberylcarnitine (C8-DC) [Mas,1,1,,
18454-9,Dodecenoylcarnitine (C12:1) [,1,1,,
18455-6,Dodecanoylcarnitine (C12) [Ma,1,1,,
18456-4,Tetradecadienoylcarnitine (C1,1,1,,
1845-7,Ammonium ion [Moles/volume] i,1,1,,
18457-2,Tetradecenoylcarnitine (C14:1,1,1,,
18458-0,3-Hydroxytetradecadienoylcarn,1,1,,
18459-8,3-Hydroxytetradecenoylcarniti,1,1,,
18460-6,Palmitoylcarnitine (C16) [Mas,1,1,,
18461-4,3-Hydroxypalmitoylcarnitine (,1,1,,
18462-2,Linoleoylcarnitine (C18:2) [M,1,1,,
18463-0,Oleoylcarnitine (C18:1) [Mass,1,1,,
18464-8,3-Hydroxylinoleoylcarnitine (,1,1,,
1846-5,"Amylo-alpha-1,6-glucosidase [",1,1,,
18465-5,3-Hydroxyoleoylcarnitine (C18,1,1,,
18466-3,Dicarboxyoleylcarnitine (C18:,1,1,,
18467-1,Venlafaxine [Mass/volume] in,1,1,,
18468-9,Aspergillus fumigatus Ab [Pre,1,1,,
18469-7,Methyclothiazide [Mass/volume,1,1,,
18470-5,Norclomipramine [Mass/volume],1,1,,
18471-3,Metoclopramide [Mass/volume],1,1,,
18472-1,Organophosphate pesticides [I,1,1,,
1847-3,Amyloid associated protein [M,1,1,,
18473-9,HYDROmorphone [Presence] in U,1,1,,
18474-7,HER2 Ag [Presence] in Tissue,1,1,,
18475-4,Phenylalanine/Creatinine [Mol,1,1,,
18476-2,Uroporphyrinogen decarboxylas,1,1,,
18477-0,Lithium [Moles/time] in 24 ho,1,1,,
18478-8,Human papilloma virus 16+18 D,1,1,,
18479-6,Human papilloma virus 31+35+5,1,1,,
18480-4,Human papilloma virus 6+11 DN,1,1,,
1848-1,Androstanolone [Mass/volume],1,1,,
18481-2,Streptococcus pyogenes Ag [Pr,1,1,,
18482-0,Yeast [Presence] in Unspecifi,1,1,,
18483-8,Yeast [Presence] in Genital s,1,1,,
18484-6,Ku Ab [Presence] in Serum,1,1,,
18485-3,Mi-2 Ab [Presence] in Serum,1,1,,
18486-1,Methylenediamine [Presence] i,1,1,,
18487-9,Broad casts [#/area] in Urine,1,1,,
18488-7,Calcium [Mass/volume] in 24 h,1,1,,
18489-5,Valproate.protein bound [Mass,1,1,,
18490-3,Chlamydia trachomatis G+F+K I,1,1,,
18491-1,Chlamydia trachomatis G+F+K I,1,1,,
18492-9,Chlamydia trachomatis G+F+K I,1,1,,
18493-7,Ova and parasites identified,1,1,,
18494-5,Ova and parasites identified,1,1,,
18495-2,Ova and parasites identified,1,1,,
18496-0,Ova and parasites identified,1,1,,
18497-8,Microscopic observation [Iden,1,1,,
18498-6,Microscopic observation [Iden,1,1,,
1849-9,Androstanolone [Mass/volume],1,1,,
18499-4,Microscopic observation [Iden,1,1,,
18500-9,Microscopic observation [Iden,1,1,,
18501-7,Microscopic observation [Iden,1,1,,
18502-5,Microscopic observation [Iden,1,1,,
18503-3,Microscopic observation [Iden,1,1,,
18504-1,PP interval mean,2,,1,1
18505-8,R-R interval (Mean value duri,2,,1,1
18506-6,P wave axis horizontal plane,2,,1,1
1850-7,Androstanediol [Mass/volume],1,1,,
18507-4,QRS axis.horizontal plane Ref,2,,1,1
18508-2,R wave axis.horizontal plane,2,,1,1
18509-0,T wave axis.horizontal plane,2,,1,1
18510-8,ST segment axis.horizontal pl,2,,1,1
18511-6,P wave onset [Time] Reference,2,,1,1
18512-4,P wave offset [Time] Referenc,2,,1,1
18513-2,QRS onset [Time] Reference be,2,,1,1
18514-0,QRS offset [Time] Reference b,2,,1,1
1851-5,Androstenedione [Mass/volume],1,1,,
18515-7,T wave offset [Time] Referenc,2,,1,1
18516-5,P wave axis frontal plane Ref,2,,1,1
18517-3,QRS axis.frontal plane Refere,2,,1,1
18518-1,T wave axis.frontal plane Ref,2,,1,1
18519-9,Reference beat,2,,1,1
18520-7,P-R Interval Lead AVF,2,,1,1
18521-5,P-R Interval Lead AVL,2,,1,1
18522-3,P-R Interval Lead AVR,2,,1,1
1852-3,Androstenedione [Mass/volume],1,1,,
18523-1,P-R Interval Lead I,2,,1,1
18524-9,P-R Interval Lead II,2,,1,1
18525-6,P-R Interval Lead III,2,,1,1
18526-4,P-R Interval Lead V1,2,,1,1
18527-2,P-R Interval Lead V2,2,,1,1
18528-0,P-R Interval Lead V3,2,,1,1
18529-8,P-R Interval Lead V4,2,,1,1
18530-6,P-R Interval Lead V5,2,,1,1
1853-1,Androstenedione [Mass/volume],1,1,,
18531-4,P-R Interval Lead V6,2,,1,1
18532-2,Q-T interval Lead AVF,2,,1,1
18533-0,Q-T interval Lead AVL,2,,1,1
18534-8,Q-T interval Lead AVR,2,,1,1
18535-5,Q-T interval Lead I,2,,1,1
18536-3,Q-T interval Lead II,2,,1,1
18537-1,Q-T interval Lead III,2,,1,1
18538-9,Q-T interval Lead V1,2,,1,1
18539-7,Q-T interval Lead V2,2,,1,1
18540-5,Q-T interval Lead V3,2,,1,1
18541-3,Q-T interval Lead V4,2,,1,1
18542-1,Q-T interval Lead V5,2,,1,1
18543-9,Q-T interval Lead V6,2,,1,1
18544-7,ST amplitude.J point+20 ms Le,2,,1,1
18545-4,ST amplitude.J point+20 ms Le,2,,1,1
18546-2,ST amplitude.J point+20 ms Le,2,,1,1
18547-0,ST amplitude.J point+20 ms Le,2,,1,1
18548-8,ST amplitude.J point+20 ms Le,2,,1,1
1854-9,Androstenedione [Mass/volume],1,1,,
18549-6,ST amplitude.J point+20 ms Le,2,,1,1
18550-4,ST amplitude.J point+20 ms Le,2,,1,1
18551-2,ST amplitude.J point+20 ms Le,2,,1,1
18552-0,ST amplitude.J point+20 ms Le,2,,1,1
18553-8,ST amplitude.J point+20 ms Le,2,,1,1
18554-6,ST amplitude.J point+20 ms Le,2,,1,1
18555-3,ST amplitude.J point+20 ms Le,2,,1,1
1855-6,Androstenedione [Mass/volume],1,1,,
18556-1,ST amplitude.J point+60 ms Le,2,,1,1
18557-9,ST amplitude.J point+60 ms Le,2,,1,1
18558-7,ST amplitude.J point+60 ms Le,2,,1,1
18559-5,ST amplitude.J point+60 ms Le,2,,1,1
18560-3,ST amplitude.J point+60 ms Le,2,,1,1
18561-1,ST amplitude.J point+60 ms Le,2,,1,1
18562-9,ST amplitude.J point+60 ms Le,2,,1,1
18563-7,ST amplitude.J point+60 ms Le,2,,1,1
1856-4,Androsterone [Mass/volume] in,1,1,,
18564-5,ST amplitude.J point+60 ms Le,2,,1,1
18565-2,ST amplitude.J point+60 ms Le,2,,1,1
18566-0,ST amplitude.J point+60 ms Le,2,,1,1
18567-8,ST amplitude.J point+60 ms Le,2,,1,1
18568-6,ST amplitude.J point+80 ms Le,2,,1,1
18569-4,ST amplitude.J point+80 ms Le,2,,1,1
18570-2,ST amplitude.J point+80 ms Le,2,,1,1
18571-0,ST amplitude.J point+80 ms Le,2,,1,1
1857-2,Angiotensin converting enzyme,1,1,,
18572-8,ST amplitude.J point+80 ms Le,2,,1,1
18573-6,ST amplitude.J point+80 ms Le,2,,1,1
18574-4,ST amplitude.J point+80 ms Le,2,,1,1
18575-1,ST amplitude.J point+80 ms Le,2,,1,1
18576-9,ST amplitude.J point+80 ms Le,2,,1,1
18577-7,ST amplitude.J point+80 ms Le,2,,1,1
18578-5,ST amplitude.J point+80 ms Le,2,,1,1
18579-3,ST amplitude.J point+80 ms Le,2,,1,1
1858-0,Angiotensin I [Mass/volume] i,1,1,,
18580-1,"Ambulance transport, Originat",3,,,1
18581-9,"Ambulance transport, Originat",3,,,1
18582-7,"Ambulance transport, Destinat",3,,,1
18583-5,"Ambulance transport, Destinat",3,,,1
18584-3,Body weight at ambulance tran,3,,,1
18588-4,"Ambulance transport, Purpose",3,,,1
18589-2,Admitted at destination facil,2,,1,1
185-9,Ciprofloxacin [Susceptibility,1,1,,
18591-8,Confined to bed before ambula,3,,,1
18592-6,Confined to bed after ambulan,3,,,1
18593-4,"Ambulance transport, Discharg",3,,,1
18594-2,Psychiatric service attachmen,2,,1,1
1859-8,Angiotensin II [Mass/volume],1,1,,
18598-3,Control number identification,3,,,1
18600-7,Primary practitioner identifi,3,,,1
18601-5,Primary practitioner professi,3,,,1
18602-3,ED practitioner identifier,3,,,1
18605-6,Medication current Set,3,,,1
1860-6,Angiotensin II [Mass/volume],1,1,,
18606-4,"Current medication, Name and",3,,,1
18607-2,Current medication Dose,3,,,1
18608-0,"Current medication, Timing +",3,,,1
18609-8,"Current medication, Route",3,,,1
18610-6,Medication administered Set,3,,,1
18611-4,"Administered medication, Name",3,,,1
18612-2,"Administered medication, Rout",3,,,1
1861-4,Angiotensinogen [Mass/volume],1,1,,
18614-8,"Administered medication, Timi",3,,,1
18615-5,Medication administered Dose,3,,,1
18616-3,"Administered medication, Stre",3,,,1
18617-1,Medication discharge Set,3,,,1
18618-9,"Discharge medication, Name an",3,,,1
18619-7,Discharge medication Dose,3,,,1
18620-5,"Discharge medication, Timing",3,,,1
18621-3,"Discharge medication, Route",3,,,1
1862-2,Aniline [Mass/volume] in Seru,1,1,,
18622-1,"Discharge medication, Amount",3,,,1
18623-9,"Discharge medication, Refills",3,,,1
18624-7,ED problem (narrative),3,,,1
18626-2,Deprecated Psychiatric rehabi,3,,,1
18627-0,Deprecated Psychiatric rehabi,3,,,1
18628-8,Deprecated Psychiatric rehabi,3,,,1
18629-6,Deprecated Clinical disciplin,3,,,1
1863-0,Anion gap 4 in Serum or Plasm,1,1,,
18630-4,Primary diagnosis,3,,,1
18631-2,Deprecated Psychiatric rehabi,3,,,1
18632-0,Psychiatric rehabilitation tr,3,,,1
18633-8,Deprecated Psychiatric rehabi,3,,,1
18634-6,Deprecated Psychiatric rehabi,3,,,1
18635-3,Deprecated Psychiatric rehabi,3,,,1
18637-9,Deprecated Psychiatric rehabi,3,,,1
18638-7,Deprecated Psychiatric rehabi,3,,,1
18639-5,Psychiatric rehabilitation tr,3,,,1
18640-3,Deprecated Psychiatric rehabi,3,,,1
18641-1,Deprecated Psychiatric rehabi,3,,,1
18642-9,Psychiatric rehabilitation tr,3,,,1
18643-7,Deprecated Psychiatric rehabi,3,,,1
18644-5,Deprecated Psychiatric rehabi,3,,,1
18645-2,Deprecated Psychiatric rehabi,3,,,1
18646-0,Deprecated Psychiatric rehabi,3,,,1
18647-8,Deprecated Psychiatric rehabi,3,,,1
1864-8,Anserine [Mass/volume] in Cer,1,1,,
18648-6,Deprecated Psychiatric rehabi,3,,,1
18649-4,Deprecated Psychiatric rehabi,3,,,1
18650-2,Deprecated Psychiatric rehabi,3,,,1
18651-0,Psychiatric rehabilitation tr,3,,,1
18652-8,Deprecated Psychiatric rehabi,3,,,1
18653-6,Deprecated Psychiatric rehabi,3,,,1
18654-4,Deprecated Psychiatric rehabi,3,,,1
1865-5,Anserine [Presence] in Serum,1,1,,
18655-1,Deprecated Psychiatric rehabi,3,,,1
18656-9,Deprecated Psychiatric rehabi,3,,,1
18657-7,Deprecated Psychiatric rehabi,3,,,1
18658-5,Deprecated Psychiatric rehabi,3,,,1
18659-3,Deprecated Psychiatric rehabi,3,,,1
18660-1,Deprecated Psychiatric rehabi,3,,,1
18661-9,Deprecated Psychiatric rehabi,3,,,1
18662-7,Deprecated Alcohol-substance,3,,,1
1866-3,Anserine [Mass/volume] in Ser,1,1,,
18663-5,"Alcohol-substance abuse, reha",3,,,1
18664-3,Rehabilitation treatment plan,3,,,1
18665-0,Deprecated Alcohol-substance,3,,,1
18666-8,Deprecated Alcohol-substance,3,,,1
18667-6,Deprecated Alcohol-substance,3,,,1
18668-4,Deprecated Alcohol-substance,3,,,1
18669-2,Deprecated Rehabilitation tre,3,,,1
186-7,Ciprofloxacin [Susceptibility,1,1,,
18670-0,Rehabilitation treatment plan,3,,,1
1867-1,Anserine [Mass/volume] in Uri,1,1,,
18671-8,Deprecated Psychiatric rehabi,3,,,1
18672-6,Alcohol or substance abuse sy,3,,,1
18673-4,Deprecated Alcohol-substance,3,,,1
18674-2,Alcohol-substance abuse rehab,3,,,1
18675-9,Alcohol-substance abuse rehab,3,,,1
18676-7,Alcohol-substance abuse rehab,3,,,1
18677-5,Deprecated Service claims att,3,,,1
18679-1,ED claims attachment (composi,3,,,1
18682-5,Ambulance records,2,,1,1
18684-1,First Blood pressure Set,3,,,1
18685-8,First Blood pressure special,3,,,1
18686-6,First Respiration rate Set,3,,,1
18687-4,First Respiration rate specia,3,,,1
18688-2,First Body temperature Set,3,,,1
1868-9,Antithrombin Ag [Mass/volume],1,1,,
18689-0,First Body temperature specia,3,,,1
18690-8,First Body weight Set,3,,,1
18692-4,First Body weight special cir,3,,,1
18693-2,ED consultant practitioner Se,3,,,1
18694-0,ED consultant practitioner na,3,,,1
18695-7,ED clinical finding type,3,,,1
18696-5,ED clinical finding (narrativ,3,,,1
1869-7,Apolipoprotein A-I [Mass/volu,1,1,,
18697-3,ED clinical finding data sour,3,,,1
18698-1,ED clinical finding (composit,3,,,1
18699-9,ED practitioner Set,3,,,1
18700-5,ED practitioner name,3,,,1
18701-3,ED practitioner profession,3,,,1
18702-1,ED practitioner role,3,,,1
18703-9,ED diagnostic procedure resul,3,,,1
18704-7,ED referring practitioner Set,3,,,1
1870-5,Apolipoprotein A-II [Mass/vol,1,1,,
18705-4,ED referring practitioner nam,3,,,1
18706-2,ED referring practitioner ide,3,,,1
18707-0,ED referring practitioner pro,3,,,1
18708-8,First Heart rate Set,3,,,1
18709-6,First Heart rate special circ,3,,,1
18710-4,Primary practitioner Set,3,,,1
18711-2,Primary practitioner name,3,,,1
